match_id,city,winner,total_runs,date
911,Navi Mumbai,Gujarat Titans,156,2022-04-23
912,Mumbai,Sunrisers Hyderabad,68,2022-04-23
913,Mumbai,Lucknow Super Giants,168,2022-04-24
914,Mumbai,Punjab Kings,187,2022-04-25
915,Pune,Rajasthan Royals,144,2022-04-26
916,Mumbai,Gujarat Titans,195,2022-04-27
917,Mumbai,Delhi Capitals,146,2022-04-28
918,Pune,Lucknow Super Giants,153,2022-04-29
919,Mumbai,Gujarat Titans,170,2022-04-30
920,Navi Mumbai,Mumbai Indians,158,2022-04-30
921,Mumbai,Lucknow Super Giants,195,2022-05-01
922,Pune,Chennai Super Kings,202,2022-05-01
923,Mumbai,Kolkata Knight Riders,152,2022-05-02
924,Navi Mumbai,Punjab Kings,143,2022-05-03
925,Pune,Royal Challengers Bengaluru,173,2022-05-04
926,Mumbai,Delhi Capitals,207,2022-05-05
927,Mumbai,Mumbai Indians,177,2022-05-06
928,Mumbai,Rajasthan Royals,189,2022-05-07
929,Pune,Lucknow Super Giants,176,2022-05-07
930,Mumbai,Royal Challengers Bengaluru,192,2022-05-08
931,Navi Mumbai,Chennai Super Kings,208,2022-05-08
932,Navi Mumbai,Kolkata Knight Riders,165,2022-05-09
933,Pune,Gujarat Titans,144,2022-05-10
934,Navi Mumbai,Delhi Capitals,160,2022-05-11
935,Mumbai,Mumbai Indians,97,2022-05-12
936,Mumbai,Punjab Kings,209,2022-05-13
937,Pune,Kolkata Knight Riders,177,2022-05-14
938,Mumbai,Gujarat Titans,133,2022-05-15
939,Mumbai,Rajasthan Royals,178,2022-05-15
940,Navi Mumbai,Delhi Capitals,159,2022-05-16
941,Mumbai,Sunrisers Hyderabad,193,2022-05-17
942,Navi Mumbai,Lucknow Super Giants,210,2022-05-18
943,Mumbai,Royal Challengers Bengaluru,168,2022-05-19
944,Mumbai,Rajasthan Royals,150,2022-05-20
945,Mumbai,Mumbai Indians,159,2022-05-21
946,Mumbai,Punjab Kings,157,2022-05-22
947,Kolkata,Gujarat Titans,188,2022-05-24
948,Kolkata,Royal Challengers Bengaluru,207,2022-05-25
949,Ahmedabad,Rajasthan Royals,157,2022-05-27
950,Ahmedabad,Gujarat Titans,130,2022-05-29
951,Ahmedabad,Gujarat Titans,178,2023-03-31
953,Lucknow,Lucknow Super Giants,193,2023-04-01
954,Hyderabad,Rajasthan Royals,203,2023-04-02
955,Bengaluru,Royal Challengers Bengaluru,171,2023-04-02
956,Chennai,Chennai Super Kings,217,2023-04-03
957,Delhi,Gujarat Titans,162,2023-04-04
958,Guwahati,Punjab Kings,197,2023-04-05
959,Kolkata,Kolkata Knight Riders,204,2023-04-06
960,Lucknow,Lucknow Super Giants,121,2023-04-07
961,Guwahati,Rajasthan Royals,199,2023-04-08
962,Mumbai,Chennai Super Kings,157,2023-04-08
963,Ahmedabad,Kolkata Knight Riders,204,2023-04-09
964,Hyderabad,Sunrisers Hyderabad,143,2023-04-09
965,Bengaluru,Lucknow Super Giants,212,2023-04-10
966,Delhi,Mumbai Indians,172,2023-04-11
967,Chennai,Rajasthan Royals,175,2023-04-12
968,Chandigarh,Gujarat Titans,153,2023-04-13
969,Kolkata,Sunrisers Hyderabad,228,2023-04-14
970,Bengaluru,Royal Challengers Bengaluru,174,2023-04-15
971,Lucknow,Punjab Kings,159,2023-04-15
972,Mumbai,Mumbai Indians,185,2023-04-16
973,Ahmedabad,Rajasthan Royals,177,2023-04-16
974,Bengaluru,Chennai Super Kings,226,2023-04-17
975,Hyderabad,Mumbai Indians,192,2023-04-18
976,Jaipur,Lucknow Super Giants,154,2023-04-19
977,Chandigarh,Royal Challengers Bengaluru,174,2023-04-20
978,Delhi,Delhi Capitals,127,2023-04-20
979,Chennai,Chennai Super Kings,134,2023-04-21
980,Lucknow,Gujarat Titans,135,2023-04-22
981,Mumbai,Punjab Kings,214,2023-04-22
982,Bengaluru,Royal Challengers Bengaluru,189,2023-04-23
983,Kolkata,Chennai Super Kings,235,2023-04-23
984,Hyderabad,Delhi Capitals,144,2023-04-24
985,Ahmedabad,Gujarat Titans,207,2023-04-25
986,Bengaluru,Kolkata Knight Riders,200,2023-04-26
987,Jaipur,Rajasthan Royals,202,2023-04-27
988,Chandigarh,Lucknow Super Giants,257,2023-04-28
989,Kolkata,Gujarat Titans,179,2023-04-29
990,Delhi,Sunrisers Hyderabad,197,2023-04-29
991,Chennai,Punjab Kings,200,2023-04-30
992,Mumbai,Mumbai Indians,212,2023-04-30
993,Lucknow,Royal Challengers Bengaluru,126,2023-05-01
994,Ahmedabad,Delhi Capitals,130,2023-05-02
995,Lucknow,,125,2023-05-03
996,Chandigarh,Mumbai Indians,214,2023-05-03
997,Hyderabad,Kolkata Knight Riders,171,2023-05-04
998,Jaipur,Gujarat Titans,118,2023-05-05
999,Chennai,Chennai Super Kings,139,2023-05-06
1000,Delhi,Delhi Capitals,181,2023-05-06
1001,Ahmedabad,Gujarat Titans,227,2023-05-07
1002,Jaipur,Sunrisers Hyderabad,214,2023-05-07
1003,Kolkata,Kolkata Knight Riders,179,2023-05-08
1004,Mumbai,Mumbai Indians,199,2023-05-09
1005,Chennai,Chennai Super Kings,167,2023-05-10
1006,Kolkata,Rajasthan Royals,149,2023-05-11
1007,Mumbai,Mumbai Indians,218,2023-05-12
1008,Hyderabad,Lucknow Super Giants,182,2023-05-13
1009,Delhi,Punjab Kings,167,2023-05-13
1010,Jaipur,Royal Challengers Bengaluru,171,2023-05-14
1011,Chennai,Kolkata Knight Riders,144,2023-05-14
1012,Ahmedabad,Gujarat Titans,188,2023-05-15
1013,Lucknow,Lucknow Super Giants,177,2023-05-16
1014,Dharamsala,Delhi Capitals,213,2023-05-17
1015,Hyderabad,Royal Challengers Bengaluru,186,2023-05-18
1016,Dharamsala,Rajasthan Royals,187,2023-05-19
1017,Delhi,Chennai Super Kings,223,2023-05-20
1018,Kolkata,Lucknow Super Giants,176,2023-05-20
1019,Mumbai,Mumbai Indians,200,2023-05-21
1020,Bengaluru,Gujarat Titans,197,2023-05-21
1021,Chennai,Chennai Super Kings,172,2023-05-23
1022,Chennai,Mumbai Indians,182,2023-05-24
1023,Ahmedabad,Gujarat Titans,233,2023-05-26
1025,Chennai,Chennai Super Kings,173,2024-03-22
1026,Mohali,Punjab Kings,174,2024-03-23
1027,Kolkata,Kolkata Knight Riders,208,2024-03-23
1028,Jaipur,Rajasthan Royals,193,2024-03-24
1029,Ahmedabad,Gujarat Titans,168,2024-03-24
1030,Bengaluru,Royal Challengers Bengaluru,176,2024-03-25
1031,Chennai,Chennai Super Kings,206,2024-03-26
1032,Hyderabad,Sunrisers Hyderabad,277,2024-03-27
1033,Jaipur,Rajasthan Royals,185,2024-03-28
1034,Bengaluru,Kolkata Knight Riders,182,2024-03-29
1035,Lucknow,Lucknow Super Giants,199,2024-03-30
1036,Ahmedabad,Gujarat Titans,162,2024-03-31
1037,Visakhapatnam,Delhi Capitals,191,2024-03-31
1038,Mumbai,Rajasthan Royals,125,2024-04-01
1039,Bengaluru,Lucknow Super Giants,181,2024-04-02
1040,Visakhapatnam,Kolkata Knight Riders,272,2024-04-03
1041,Ahmedabad,Punjab Kings,199,2024-04-04
1042,Hyderabad,Sunrisers Hyderabad,165,2024-04-05
1043,Jaipur,Rajasthan Royals,183,2024-04-06
1044,Mumbai,Mumbai Indians,234,2024-04-07
1045,Lucknow,Lucknow Super Giants,163,2024-04-07
1046,Chennai,Chennai Super Kings,137,2024-04-08
1047,Mohali,Sunrisers Hyderabad,182,2024-04-09
1048,Jaipur,Gujarat Titans,196,2024-04-10
1049,Mumbai,Mumbai Indians,196,2024-04-11
1050,Lucknow,Delhi Capitals,167,2024-04-12
1051,Mohali,Rajasthan Royals,147,2024-04-13
1052,Kolkata,Kolkata Knight Riders,161,2024-04-14
1053,Mumbai,Chennai Super Kings,206,2024-04-14
1054,Bengaluru,Sunrisers Hyderabad,287,2024-04-15
1055,Kolkata,Rajasthan Royals,223,2024-04-16
1056,Ahmedabad,Delhi Capitals,89,2024-04-17
1057,Mohali,Mumbai Indians,192,2024-04-18
1058,Lucknow,Lucknow Super Giants,176,2024-04-19
1059,Delhi,Sunrisers Hyderabad,266,2024-04-20
1060,Kolkata,Kolkata Knight Riders,222,2024-04-21
1061,Mohali,Gujarat Titans,142,2024-04-21
1062,Jaipur,Rajasthan Royals,179,2024-04-22
1063,Chennai,Lucknow Super Giants,210,2024-04-23
1064,Delhi,Delhi Capitals,224,2024-04-24
1065,Hyderabad,Royal Challengers Bengaluru,206,2024-04-25
1066,Kolkata,Punjab Kings,261,2024-04-26
1067,Delhi,Delhi Capitals,257,2024-04-27
1068,Lucknow,Rajasthan Royals,196,2024-04-27
1069,Ahmedabad,Royal Challengers Bengaluru,200,2024-04-28
1070,Chennai,Chennai Super Kings,212,2024-04-28
1071,Kolkata,Kolkata Knight Riders,153,2024-04-29
1072,Lucknow,Lucknow Super Giants,144,2024-04-30
1073,Chennai,Punjab Kings,162,2024-05-01
1074,Hyderabad,Sunrisers Hyderabad,201,2024-05-02
1075,Mumbai,Kolkata Knight Riders,169,2024-05-03
